BBSD,XBOV,IVVB,BOVA,BRAX,SMAL,DIVO,FIND,GOVE,MATB,ISUS,PIBB,BLFT 0 03/01/23 Corp,BLTN 0 01/01/20 Corp,BLTN 10 01/01/23 Govt,BNTNF 10 01/01/27 Corp,BNTNB 6 08/15/24 Govt,BNTNB 6 08/15/26 Govt,BNTNB 6 05/15/35 Govt,BNTNB 6 05/15/45 Govt,BNTNB 6 08/15/50 Govt
0.151377781,0,0.15322214,0,0,0,0,0.029212927,0,0.004150768,0,0,0.12359531,0.30860491,0.091526605,0.048748354,0.089561206,0,0,0,0
0.188295785,0,0.140024458,0,0,0,0,0.023271372,0,0.003301505,0,0,0.13510009,0.288097317,0.085444426,0.0455089,0.090956147,0,0,0,0
0.12106952,0,0.183260998,0,0,0,0,0.046792741,0,0,0,0,0.04857674,0.34395625,0.10201117,0.05433258,0.1,0,0,0,0
0.12664275,0,0.188725155,0,0,0,0,0.048914624,0,0,0,0,0.035417471,0.34395625,0.10201117,0.05433258,0.1,0,0,0,0
0.13221598,0,0.194189312,0,0,0,0,0.051036506,0,0,0,0,0.022258202,0.34395625,0.10201117,0.05433258,0.1,0,0,0,0
0.13778921,0,0.199653469,0,0,0,0,0.053158388,0,0,0,0,0.009098933,0.34395625,0.10201117,0.05433258,0.1,0,0,0,0
0.133829961,0,0.201940086,0,0,0,0,0.064052773,0,0,0,0,0,0.343871811,0.101986127,0.054319242,0.1,0,0,0,0
0.13961289,0,0.20678822,0,0,0,0,0.068038741,0,0,0,0,0,0.333822602,0.099005714,0.052731832,0.1,0,0,0,0
0.197488563,0,0.223000653,0,0,0,0,0.022083061,0,0.003131652,0,0,0,0.33862923,0.100431273,0.053491104,0.061744464,0,0,0,0
0.215713265,0,0.20069681,0,0,0,0,0.031081388,0,0.003761535,0,0,0,0.323453538,0.095930438,0.051093897,0.07826913,0,0,0,0
0.152697493,0,0.193250635,0,0,0,0,0.093493618,0,0,0,0,0.009098933,0.31582794,0.093668825,0.04988933,0.092073227,0,0,0,0
0.219490538,0,0.218090444,0,0,0,0,0.042529775,0,8.42E-05,0,0,0.006236697,0.318270887,0.094393358,0.050275227,0.050628909,0,0,0,0
0.102726446,0,0.214352748,0,0,0,0,0.133375345,0,0,0,0,0,0.337042342,0.099960631,0.053240434,0.059302055,0,0,0,0
0.173346746,0,0.199281741,0,0,0,0,0.106489883,0,0,0,0,0.022258202,0.281967632,0.083626473,0.044540632,0.08848869,0,0,0,0
0.174310463,0,0.235877024,0,0,0,0,0.091954555,0,0,0,0,0,0.273527346,0.081123238,0.043207374,0.1,0,0,0,0
0.180093392,0,0.240725158,0,0,0,0,0.095940523,0,0,0,0,0,0.263478137,0.078142825,0.041619965,0.1,0,0,0,0
0.185876321,0,0.245573292,0,0,0,0,0.099926492,0,0,0,0,0,0.253428928,0.075162412,0.040032555,0.1,0,0,0,0
0.191659249,0,0.250421426,0,0,0,0,0.103912461,0,0,0,0,0,0.243379718,0.072181999,0.038445145,0.1,0,0,0,0
